Date,Time,Net Carbs
2021-03-15,18:46:35,40.0
2021-03-15,16:00:00,15.0
2021-03-15,16:00:00,31.062400000000004
2021-03-15,16:00:00,0.0
2021-03-15,16:00:00,2.0
2021-03-15,16:00:00,4.0
2021-03-15,16:00:00,16.5
2021-03-15,13:00:00,18.0
2021-03-15,13:00:00,0.0
2021-03-15,13:00:00,8.658000000000003
2021-03-15,13:00:00,1.47868
2021-03-15,13:00:00,0.0
2021-03-15,13:00:00,18.035279999999997
2021-03-15,03:00:00,10.973999999999998
2021-03-15,03:00:00,26.0
2021-03-14,20:21:42,20.0
2021-03-14,19:55:42,20.0
2021-03-14,23:00:00,12.823200000000028
2021-03-14,23:00:00,0.0
2021-03-14,23:00:00,126.05839999999999
2021-03-14,23:00:00,4.466666666666665
2021-03-14,17:00:00,4.0
2021-03-14,17:00:00,18.0
2021-03-14,17:00:00,20.19
2021-03-14,17:00:00,22.904762088
2021-03-14,14:00:00,0.0
2021-03-14,14:00:00,36.0
2021-03-14,14:00:00,1.5
2021-03-14,14:00:00,1.47868
2021-03-14,14:00:00,0.0
2021-03-13,19:32:34,18.0
2021-03-13,23:00:00,0.0
2021-03-13,23:00:00,23.484725799999996
2021-03-13,23:00:00,20.000000000000004
2021-03-13,13:46:29,28.0
2021-03-13,17:00:00,0.0
2021-03-13,17:00:00,15.0
2021-03-13,17:00:00,0.0
2021-03-13,17:00:00,16.714285848
2021-03-13,17:00:00,20.19
2021-03-13,14:00:00,14.0
2021-03-13,14:00:00,0.0
2021-03-13,14:00:00,1.47868
2021-03-13,14:00:00,0.0
2021-03-13,14:00:00,8.658000000000003
2021-03-13,14:00:00,18.035279999999997
2021-03-13,03:00:00,16.461
2021-03-12,23:00:00,0.0
2021-03-12,23:00:00,22.152000000000047
2021-03-12,23:00:00,29.35590725
2021-03-12,16:29:16,12.0
2021-03-12,12:11:30,12.0
2021-03-12,17:00:00,18.0
2021-03-12,17:00:00,16.5
2021-03-12,17:00:00,2.0
2021-03-12,17:00:00,0.0
2021-03-12,17:00:00,4.0
2021-03-12,17:00:00,0.0
2021-03-12,14:00:00,28.0
2021-03-12,14:00:00,8.658000000000003
2021-03-12,14:00:00,0.0
2021-03-12,14:00:00,1.47868
2021-03-12,14:00:00,0.0
2021-03-12,14:00:00,18.035279999999997
2021-03-12,00:42:57,8.0
2021-03-12,03:00:00,10.973999999999998
2021-03-12,03:00:00,4.0
2021-03-12,03:00:00,19.0
2021-03-11,23:00:00,22.401600000000048
2021-03-11,23:00:00,16.49175412293853
2021-03-11,23:00:00,53.75000000000001
2021-03-11,23:00:00,1.0
2021-03-11,23:00:00,10.000000000000002
2021-03-11,23:00:00,25.0
2021-03-11,23:00:00,4.466666666666665
2021-03-11,17:00:00,4.0
2021-03-11,17:00:00,2.0
2021-03-11,17:00:00,22.904762088
2021-03-11,17:00:00,0.0
2021-03-11,17:00:00,16.5
2021-03-11,14:00:00,18.0
2021-03-11,14:00:00,8.658000000000003
2021-03-11,14:00:00,0.0
2021-03-11,14:00:00,1.47868
2021-03-11,14:00:00,0.0
2021-03-11,14:00:00,18.035279999999997
2021-03-11,03:00:00,52.0
2021-03-10,19:59:23,50.0
2021-03-10,18:06:29,55.0
2021-03-10,23:00:00,16.0
2021-03-10,23:00:00,19.470764617691156
2021-03-10,23:00:00,15.000000000000004
2021-03-10,23:00:00,0.0
2021-03-10,23:00:00,23.484725799999996
2021-03-10,23:00:00,0.0
2021-03-10,23:00:00,20.250000000000004
2021-03-10,14:36:31,24.0
2021-03-10,17:00:00,22.90476208799999
2021-03-10,14:00:00,18.0
2021-03-10,14:00:00,8.658000000000003
2021-03-10,14:00:00,0.0
2021-03-10,14:00:00,18.0
2021-03-10,14:00:00,0.0
2021-03-10,14:00:00,18.035279999999997
2021-03-10,14:00:00,1.47868
2021-03-09,23:00:00,25.0
2021-03-09,23:00:00,0.0
2021-03-09,23:00:00,29.355907249999998
2021-03-09,23:00:00,32.983508245877054
2021-03-09,23:00:00,4.466666666666665
2021-03-09,17:00:00,0.0
2021-03-09,17:00:00,16.5
2021-03-09,17:00:00,4.0
2021-03-09,17:00:00,2.0
2021-03-09,17:00:00,20.19
2021-03-09,17:00:00,13.619047728
2021-03-09,14:00:00,18.0
2021-03-09,14:00:00,1.47868
2021-03-09,14:00:00,0.0
2021-03-09,14:00:00,0.0
2021-03-09,14:00:00,8.658000000000003
2021-03-09,14:00:00,18.035279999999997
2021-03-08,23:00:00,20.19
2021-03-08,23:00:00,20.250000000000004
2021-03-08,23:00:00,0.0
2021-03-08,23:00:00,126.05839999999999
2021-03-08,17:00:00,18.0
2021-03-08,17:00:00,18.0
2021-03-08,17:00:00,3.0
2021-03-08,17:00:00,20.19
2021-03-08,14:00:00,1.47868
2021-03-08,14:00:00,0.0
2021-03-08,14:00:00,36.0
2021-03-08,14:00:00,1.5
2021-03-07,23:00:00,14.617691154422788
2021-03-07,23:00:00,0.0
2021-03-07,23:00:00,20.19
2021-03-07,23:00:00,9.864
2021-03-07,23:00:00,63.029199999999996
2021-03-07,17:00:00,13.0
2021-03-07,17:00:00,18.0
2021-03-07,17:00:00,2.0
